id,name,name_eng,category,category_eng,description,description_eng,tag,tag_eng,image,active,featured_order,price_125,price_250,price_500,price_1000,price_shaker,price_unit,discount,is_powder
219,خلنجان,Galangal,بهارات,Spices,,,,,assets/219.webp,TRUE,,120,200,400,800,,,0,TRUE
220,ناردين,Valerian Root,بهارات,Spices,,,,,,FALSE,,,,,,,,0,FALSE
221,لافندر,Lavender,بهارات,Spices,,,,,,FALSE,,,,,,,,0,FALSE
222,شله ناعمه,Fine Shilla,بهارات,Spices,,,,,,FALSE,,,,,,,,0,FALSE
223,بصل شرايح,Onion Flakes,بهارات,Spices,,,,,,FALSE,,,,,,,,0,FALSE
224,شوك جمل,Milk Thistle,اعشاب وزيوت طبيعية,Organic Herbs & Oils,,,,,assets/224.webp,TRUE,,180,300,600,1200,,,0,FALSE
225,قرنفل,Cloves,بهارات,Spices,,,,,assets/225.webp,TRUE,,150,250,500,1000,,,0,FALSE
226,ورد محمدي,Damascene Rose,اعشاب وزيوت طبيعية,Organic Herbs & Oils,,,,,assets/226.webp,TRUE,,60,100,200,360,,,0,FALSE
227,كاجو,Cashews,مكسرات,Nuts,,,,,assets/227.webp,TRUE,,150,240,480,960,,,0,FALSE
228,حنه,Henna,العناية والجمال,Beauty & Personal Care,,,,,assets/228.webp,TRUE,,40,60,120,240,,,0,FALSE
229,سليوم,Psyllium,بهارات,Spices,,,,,,FALSE,,,,,,,,0,FALSE
230,كركديه,Hibiscus,بهارات,Spices,,,,,assets/230.webp,TRUE,,50,80,160,320,,,0,FALSE
231,مقوي عام,General Tonic Blend,بهارات,Spices,,,,,,FALSE,,,,,,,,0,FALSE
232,خروب مجروش,Carob,بهارات,Spices,,,,,assets/232.webp,TRUE,,50,80,160,320,,,0,FALSE
233,لبان دكر بخور,Frankincense Incense,بخور,Incense,,,,,,FALSE,,,,,,,,0,FALSE
234,فول مجروش,Split Fava Beans,بهارات,Spices,,,,,,FALSE,,,,,,,,0,FALSE
235,عين جمل,Walnuts,مكسرات,Nuts,,,,,assets/235.webp,TRUE,,100,180,360,720,,,0,FALSE
236,لوز,Almonds,مكسرات,Nuts,,,,,assets/236.webp,TRUE,,100,180,360,720,,,0,FALSE
237,سوداني,Peanuts,مكسرات,Nuts,,,,,,FALSE,,,,,,,,0,FALSE
238,فول صويا مجروش,Crushed Soybeans,بهارات,Spices,,,,,,FALSE,,,,,,,,0,FALSE
239,لب قرع,Pumpkin Seeds,مكسرات,Nuts,,,,,,FALSE,,,,,,,,0,FALSE
240,لوز مملح,Salted Almonds,بهارات,Spices,,,,,assets/240.webp,TRUE,,120,200,380,750,,,0,FALSE
241,شكولاته شيبس,Chocolate Chips,بهارات,Spices,,,,,,FALSE,,,,,,,,0,FALSE
242,كريم شانتيه,Chantilly Cream Powder,بهارات,Spices,,,,,assets/242.webp,TRUE,,50,80,160,320,,,0,FALSE
243,سكر بورده,Powdered Sugar,بهارات,Spices,,,,,,FALSE,,,,,,,,0,FALSE
244,فواكه ألوان,Mixed Candied Fruit,مكسرات,Nuts,,,,,,FALSE,,,,,,,,0,FALSE
245,جنين قمح,Wheat Germ,بهارات,Spices,,,,,,FALSE,,,,,,,,0,FALSE
246,زبيب,Raisins,مكسرات,Nuts,,,,,assets/246.webp,TRUE,,50,80,160,320,,,0,FALSE
247,جوزهند,Coconut,مكسرات,Nuts,,,,,assets/247.webp,TRUE,,50,80,160,320,,,0,FALSE
248,قراصيا,Prunes,مكسرات,Nuts,,,,,assets/248.webp,TRUE,,75,120,240,480,,,0,FALSE
249,جيلاتين,Gelatin,بهارات,Spices,,,,,,FALSE,,,,,,,,0,FALSE
250,برغل,Bulgur,بهارات,Spices,,,,,,FALSE,,,,,,,,0,FALSE
251,زهره البنفسج,Violet Flowers,بهارات,Spices,,,,,,FALSE,,,,,,,,0,FALSE
252,فنكوش,Fankoush,بهارات,Spices,,,,,,FALSE,,,,,,,,0,FALSE
253,دقه زعتر,Za'atar Dukkah Blend,بهارات,Spices,,,,,,FALSE,,,,,,,,0,FALSE
254,القديسين,St. John's Wort,بهارات,Spices,,,,,,FALSE,,,,,,,,0,FALSE
255,بسبوسه,Basbousa Mix,بهارات,Spices,,,,,,FALSE,,,,,,,,0,FALSE
256,زيت,Oil,بهارات,Spices,,,,,,FALSE,,,,,,,,0,FALSE
257,زيت,Oil,بهارات,Spices,,,,,,FALSE,,,,,,,,0,FALSE
258,زيت,Oil,بهارات,Spices,,,,,,FALSE,,,,,,,,0,FALSE
259,بن اخضر,Green Coffee Beans,بهارات,Spices,,,,,,FALSE,,,,,,,,0,FALSE
260,جوزه,Joza,بهارات,Spices,,,,,,FALSE,,,,,,,,0,FALSE
261,بابونج,Chamomile,اعشاب وزيوت طبيعية,Organic Herbs & Oils,,,,,assets/261.webp,TRUE,,75,120,240,480,,,0,FALSE
262,بودره زعفران,Saffron Powder,بهارات,Spices,,,,,assets/262.webp,TRUE,,550,1000,2000,4000,,,0,FALSE
263,بلح سايب,Loose Dates,مكسرات,Nuts,,,,,assets/263.webp,TRUE,,30,40,80,160,,,0,FALSE
264,ملوخيه,Molokhia,بهارات,Spices,,,,,,FALSE,,,,,,,,0,FALSE
265,بهرات سجق,Sausage Spice Blend,بهارات,Spices,,,,,,FALSE,,,,,,,,0,FALSE
266,برجر,Burger Seasoning,بهارات,Spices,,,,,,FALSE,,,,,,,,0,FALSE
267,ديميجلاس,Demi-Glace,بهارات,Spices,,,,,assets/267.webp,TRUE,,75,140,250,480,70,,0,FALSE
268,كفته,Kofta Spice Blend,بهارات,Spices,,,,,,FALSE,,,,,,,,0,FALSE
269,ملح خشن,Coarse Salt,بهارات,Spices,,,,,,FALSE,,,,,,,,0,FALSE
270,ملبن,Turkish Delight,بهارات,Spices,,,,,,FALSE,,,,,,,,0,FALSE
271,ا,A,بهارات,Spices,,,,,,FALSE,,,,,,,,0,FALSE
272,بلح رطب,Fresh Dates,مكسرات,Nuts,,,,,,FALSE,,,,,,,,0,FALSE
273,ب,B,بهارات,Spices,,,,,,FALSE,,,,,,,,0,FALSE
274,تمر هندي,Tamarind,بهارات,Spices,,,,,,FALSE,,,,,,,,0,FALSE
275,كريمه,Cream Powder,بهارات,Spices,,,,,,FALSE,,,,,,,,0,FALSE
276,بلح مفتل,Maftal Dates,مكسرات,Nuts,,,,,,FALSE,,,,,,,,0,FALSE
277,فريك,Freekeh,بهارات,Spices,,,,,,FALSE,,,,,,,,0,FALSE
278,طقم الملحات,Shakers Bundle,بهارات,Spices,"10 ملاحه
فلفل ، كمون ، كزبرة، شطة ، فلفل ابيض ، 7 بهرات ، بابريكا مدخنه ، بصل بودر ، جنزبيل ، ثوم بودر","10 Shakers
Black pepper , cumin , coriander, chili powder, white pepper, seven spices , smoked paprika, onion powder, garlic powder, ginger",,,assets/278.webp,TRUE,5,,,,,500,,15,FALSE
279,كورن فليكس,Corn Flakes,بهارات,Spices,,,,,,FALSE,,,,,,,,0,FALSE
280,زبده شيا,Shea Butter,العناية والجمال,Beauty & Personal Care,,,,,,FALSE,,,,,,,,0,FALSE
281,فازلين,Petroleum Jelly,العناية والجمال,Beauty & Personal Care,,,,,,FALSE,,,,,,,,0,FALSE
282,ترمس بلدي,Egyptian Lupin,بهارات,Spices,,,,,,FALSE,,,,,,,,0,FALSE
283,أرز مطحون,Rice Flour,بهارات,Spices,,,,,,FALSE,,,,,,,,0,FALSE
284,حمص كبير,Large Chickpeas,بهارات,Spices,,,,,,FALSE,,,,,,,,0,FALSE
285,بندق,Hazelnuts,مكسرات,Nuts,,,,,assets/285.webp,TRUE,,180,300,600,1200,,,0,FALSE
286,بذر فجل,Radish Seeds,بهارات,Spices,,,,,,FALSE,,,,,,,,0,FALSE
287,البربرين,Berberine,بهارات,Spices,,,,,,FALSE,,,,,,,,0,FALSE
288,شرش زلوع,Zallouh Root,بهارات,Spices,,,,,,FALSE,,,,,,,,0,FALSE
289,حسك,Tribulus,بهارات,Spices,,,,,,FALSE,,,,,,,,0,FALSE
290,بذر شوكه الجمل,Milk Thistle Seeds,بهارات,Spices,,,,,,FALSE,,,,,,,,0,FALSE
291,حنزبيل فريش,Fresh Ginger,بهارات,Spices,,,,,,FALSE,,,,,,,,0,FALSE
292,زياده وزن,Weight Gain Blend,بهارات,Spices,,,,,,FALSE,,,,,,,,0,FALSE
293,دقيق اصفر,Yellow Flour,بهارات,Spices,,,,,,FALSE,,,,,,,,0,FALSE
294,دقيق اسود,Black Flour,بهارات,Spices,,,,,,FALSE,,,,,,,,0,FALSE
295,حنه فرد,Hair Straightening Henna,العناية والجمال,Beauty & Personal Care,,,,,,FALSE,,,,,,,,0,FALSE
296,شكولاته خام,Baking Chocolate,بهارات,Spices,,,,,,FALSE,,,,,,,,0,FALSE
297,مشمشيه,Dried Apricots,مكسرات,Nuts,,,,,assets/297.webp,TRUE,,120,200,400,800,,,0,FALSE
298,كريز احمر,Red Cherries,مكسرات,Nuts,,,,,,FALSE,,,,,,,,0,FALSE
299,كريز اخضر,Green Cherries,مكسرات,Nuts,,,,,,FALSE,,,,,,,,0,FALSE
300,لبن سكيمد,Skimmed Milk Powder,بهارات,Spices,,,,,,FALSE,,,,,,,,0,FALSE
301,خروب,Carob,بهارات,Spices,,,,,,FALSE,,,,,,,,0,FALSE
302,نواه مشمش,Apricot Kernels,مكسرات,Nuts,,,,,,FALSE,,,,,,,,0,FALSE
303,عصفر,Safflower,بهارات,Spices,,,,,assets/303.webp,TRUE,,300,500,1000,2000,,,0,FALSE
304,زعفران صحيح,Whole Saffron,بهارات,Spices,تبداء من 10 جرام,Starts from 10gm,,,assets/304.webp,TRUE,,4000,7500,15000,30000,,300,0,FALSE
305,دقيق اسمر,Whole Wheat Flour,بهارات,Spices,,,,,,FALSE,,,,,,,,0,FALSE
306,عشبه القديسه,St. John's Wort,بهارات,Spices,,,,,,FALSE,,,,,,,,0,FALSE
307,استيفيا,Stevia,بهارات,Spices,,,,,,FALSE,,,,,,,,0,FALSE
308,فول صويا صحيح,Whole Soybeans,بهارات,Spices,,,,,,FALSE,,,,,,,,0,FALSE
309,صدف بحري,Sea Shells,العناية والجمال,Beauty & Personal Care,,,,,,FALSE,,,,,,,,0,FALSE
310,كف مريم,Kaff Maryam,بهارات,Spices,,,,,,FALSE,,,,,,,,0,FALSE
311,صويا مجروش,Crushed Soybeans,بهارات,Spices,,,,,,FALSE,,,,,,,,0,FALSE
312,بلكم,Balkam,بهارات,Spices,,,,,,FALSE,,,,,,,,0,FALSE
313,فلاريس,Phalaris,بهارات,Spices,,,,,,FALSE,,,,,,,,0,FALSE
314,ورق صفصاف,Willow Leaves,بهارات,Spices,,,,,,FALSE,,,,,,,,0,FALSE
315,حب ملوك,Croton Seeds,بهارات,Spices,,,,,,FALSE,,,,,,,,0,FALSE
316,جوزهند ظفر,Coconut Zafar,مكسرات,Nuts,,,,,,FALSE,,,,,,,,0,FALSE
317,برز جزر,Carrot Seeds,بهارات,Spices,,,,,,FALSE,,,,,,,,0,FALSE
318,بخور قمع جامبو اربيكا مسك,Jumbo cone incense Arabica musk,بخور,Incense,,,,,assets/318.webp,TRUE,,,,,,,100,0,FALSE
319,بخور قمع جامبو عود خيال,Jumbo cone incense Oudh khayal,بخور,Incense,,,,,assets/319.webp,TRUE,,,,,,,100,0,FALSE
320,بخور قمع جامبو لمسه العود,Jumbo cone incense oudh touch me,بخور,Incense,,,,,assets/320.webp,TRUE,,,,,,,100,0,FALSE
321,حبوب لقاح,Bee Pollen,بهارات,Spices,,,,,,FALSE,,,,,,,,0,FALSE
322,عرعر,Juniper Berries,بهارات,Spices,,,,,,FALSE,,,,,,,,0,FALSE
323,سم نحل,Bee Venom,بهارات,Spices,,,,,,FALSE,,,,,,,,0,FALSE
324,نشادر,Ammonium Chloride,بهارات,Spices,,,,,,FALSE,,,,,,,,0,FALSE
325,دقيق اسمر,Whole Wheat Flour,بهارات,Spices,,,,,,FALSE,,,,,,,,0,FALSE
326,رجل اسد,Lady's Mantle,بهارات,Spices,,,,,,FALSE,,,,,,,,0,FALSE
327,قرطاس اللوز,Almond Shells,بهارات,Spices,,,,,,FALSE,,,,,,,,0,FALSE
328,شمع برافين,Paraffin Wax,العناية والجمال,Beauty & Personal Care,,,,,,FALSE,,,,,,,,0,FALSE
329,عسل بالشمع العصيمي,Honey with comb,عسل,Honey,,,,,assets/329.webp,TRUE,,,,180,,,,0,FALSE
330,عفص,Oak Galls,بهارات,Spices,,,,,,FALSE,,,,,,,,0,FALSE
331,عسل بالمكسرات العصيمي,Mixed nuts honey,عسل,Honey,,,,,assets/331.webp,TRUE,,,,300,,,,0,FALSE
332,فانليا,Vanilla,بهارات,Spices,تبداء من 10 جرام,Starts from 10gm,,,assets/332.webp,TRUE,,400,750,1500,3000,,30,0,FALSE
333,عسل سدر جبلي العصيمي,Mountain Sidr honey,عسل,Honey,,,,,assets/333.webp,TRUE,,,,600,,,,20,FALSE
334,سحلب,Sahlab,بهارات,Spices,,,,,,FALSE,,,,,,,,0,FALSE
335,عسل موالح العصيمي,Citrus honey,عسل,Honey,,,,,assets/335.webp,TRUE,,,100,200,,,,0,FALSE
336,فسدق,Pistachios,مكسرات,Nuts,,,,,assets/336.webp,TRUE,,140,240,480,960,,,0,FALSE
337,عسل العصيمي,Honey,عسل,Honey,,,,,assets/337.webp,TRUE,,,75,150,,,,0,FALSE
338,عسل حبه بركه العصيمي,Black seed honey,عسل,Honey,,,,,assets/338.webp,TRUE,,,80,160,,,,0,FALSE
339,لب قرع,Pumpkin seeds,مكسرات,Nuts,,,,,assets/339.webp,TRUE,,100,150,300,600,,,0,FALSE
